Intensité, Tension, Champ magnétique
I (A)    , U (V)  , B (mT)
0.0200   , 0.1000 , 0.0100
0.0400   , 0.2000 , 0.0100
0.0600   , 0.3000 , 0.0200
0.0800   , 0.4000 , 0.0450
0.1000   , 0.5000 , 0.0500
0.1200   , 0.6000 , 0.0750
0.1400   , 0.7000 , 0.0800
0.1800   , 0.8000 , 0.1100
0.2400   , 1.100  , 0.1550
0.3000   , 1.300  , 0.1900
0.4000   , 1.800  , 0.2700
0.5000   , 2.200  , 0.3400
0.6000   , 2.600  , 0.4000
0.7000   , 3.100  , 0.4800
0.8000   , 3.600  , 0.5400
0.9000   , 4.000  , 0.6200
1.000    , 4.400  , 0.7000
1.200    , 5.300  , 0.8300
1.400    , 6.200  , 0.9700
1.600    , 7.000  , 1.100
1.800    , 7.900  , 1.250
2.000    , 8.800  , 1.400
2.500    , 11.00  , 1.740
3.000    , 13.30  , 2.090
3.500    , 15.50  , 2.440
3.700    , 16.50  , 2.580
